Industry Name,Yahoo Finance Equivalent,Average PE Ratio,Average ROE,Average Profit Margin
Real Estate (General/Diversified),Real Estate—Diversified,40.16,5.12%,2.00%
Real Estate (General/Diversified),Rental & Leasing Services’,40.16,5.12%,2.00%
Real Estate (Operations & Services),Real Estate Services,1199.26,1.53%,4.71%
Recreation,Leisure,39.3,-2.12%,-7.19%
Reinsurance,Insurance—Reinsurance,9.56,2.16%,2.42%
Restaurant/Dining,Restaurants,70.43,5.69%,NA
Retail (Automotive),Auto & Truck Dealerships,30.46,3.84%,36.28%
Retail (Building Supply),Tools & Accessories,152.69,7.53%,0.27%
Retail (Distributors),,41.38,2.74%,9.67%
Retail (General),Home Improvement Retail,23.23,2.79%,20.64%
Retail (General),Discount Stores,23.23,2.79%,20.64%
Retail (General),Department Stores,23.23,2.79%,20.64%
Retail (General),Pharmaceutical Retailers,23.23,2.79%,20.64%
Retail (Grocery and Food),Grocery Stores,40.6,2.20%,30.63%
Retail (Grocery and Food),Confectioners,40.6,2.20%,30.63%
Retail (Online),Internet Retail,133.68,4.95%,27.05%
Retail (Special Lines),Specialty Retail,30.51,-0.10%,-0.64%
Retail (Special Lines),Luxury Goods,30.51,-0.10%,-0.64%
Rubber& Tires,,39.19,-10.40%,-25.69%
Semiconductor,Semiconductors,1291.42,20.49%,22.13%
Semiconductor Equip,Semiconductor Equipment & Materials,108.68,17.06%,32.23%
Shipbuilding & Marine,Marine Shipping,23.4668012393081,-5.99%,-5.70%
Shoe,Footwear & Accessories,31.53,6.86%,23.70%
Software (Entertainment),Electronic Gaming & Multimedia,100.59,20.30%,17.71%
Software (Internet),Software—Infrastructure,92.26,-5.60%,-11.23%
Software (System & Application),Software—Application,193.65,19.99%,28.09%
Steel,Steel,76.29,-1.28%,-2.84%
Telecom (Wireless),Telecom Services,29.65,4.60%,8.91%
Telecom. Equipment,Communication Equipment,69.36,10.79%,17.10%
Telecom. Services,,158.41,8.52%,11.27%
Tobacco,Tobacco,28.53,15.31%,-0.23%
Transportation,Integrated Freight & Logistics,27.84,3.88%,22.77%
Transportation,Industrial Distribution,27.84,3.88%,22.77%
Transportation (Railroads),Railroads,25.54,25.07%,21.47%
Trucking,Trucking,30.51,-9.27%,-17.70%
Utility (General),Utilities—Diversified,20.24,8.59%,7.49%
Utility (General),Diversified Utilities,20.24,8.59%,7.49%
Utility (General),,20.24,8.59%,7.49%
Utility (General),,20.24,8.59%,7.49%
Utility (General),Utilities—Regulated Gas,20.24,8.59%,7.49%
Utility (Water),Utilities—Regulated Water,54.77,16.24%,8.99%
Total Market,Conglomerates,109.79,5.05%,8.25%
Total Market (without financials),Shell Companies,103.33,4.01%,7.78%
